CATEGORY*,START*,STOP*,MILES*,PURPOSE*,START_DATE,START_TIME,END_DATE,END_TIME,Weekday,Duration
Business,Apex,Cary,5.5,Meal/Entertain,2016-01-29,21:21:00,2016-01-29,21:40:00,4,19.0
Business,Cary,Apex,5.7,Errand/Supplies,2016-01-30,16:21:00,2016-01-30,16:33:00,5,12.0
Business,Apex,Cary,5.7,Customer Visit,2016-01-30,18:09:00,2016-01-30,18:24:00,5,15.0
Business,Cary,Chapel Hill,19.4,Customer Visit,2016-02-01,10:35:00,2016-02-01,11:15:00,0,40.0
Business,Chapel Hill,Cary,23.3,Customer Visit,2016-02-01,12:10:00,2016-02-01,12:43:00,0,33.0
Business,Northwoods,Whitebridge,3.9,Meal/Entertain,2016-02-01,12:56:00,2016-02-01,13:07:00,0,11.0
Business,Whitebridge,Williamsburg Manor,8.3,Meeting,2016-02-02,13:04:00,2016-02-02,13:23:00,1,19.0
Business,Cary,Cary,6.0,Errand/Supplies,2016-02-02,13:51:00,2016-02-02,14:06:00,1,15.0
Business,Cary,Cary,1.6,Errand/Supplies,2016-02-02,14:38:00,2016-02-02,14:42:00,1,4.0
Business,Cary,Morrisville,5.2,Errand/Supplies,2016-02-04,08:40:00,2016-02-04,09:01:00,3,21.0
Business,Morrisville,Cary,9.7,Meal/Entertain,2016-02-04,09:37:00,2016-02-04,10:09:00,3,32.0
Business,Cary,Cary,1.6,Meal/Entertain,2016-02-04,10:26:00,2016-02-04,10:32:00,3,6.0
Business,Cary,Cary,1.1,Meal/Entertain,2016-02-04,15:59:00,2016-02-04,16:03:00,3,4.0
Business,Cary,Cary,1.6,Meal/Entertain,2016-02-04,16:35:00,2016-02-04,16:39:00,3,4.0
Business,Whitebridge,Macgregor Downs,9.0,Meeting,2016-02-04,18:04:00,2016-02-04,18:31:00,3,27.0
Business,Cary,Cary,7.7,Meeting,2016-02-04,20:36:00,2016-02-04,20:55:00,3,19.0
Business,Cary,Durham,10.4,Meeting,2016-02-05,11:47:00,2016-02-05,12:07:00,4,20.0
Business,Durham,Cary,10.4,Meeting,2016-02-05,13:22:00,2016-02-05,13:41:00,4,19.0
Business,Cary,Raleigh,11.4,Between Offices,2016-02-06,16:20:00,2016-02-06,16:53:00,5,33.0
Business,Raleigh,Cary,9.0,Errand/Supplies,2016-02-06,18:57:00,2016-02-06,19:21:00,5,24.0
Business,Edgehill Farms,Whitebridge,3.2,Meal/Entertain,2016-02-06,19:28:00,2016-02-06,19:37:00,5,9.0
Business,Cary,Apex,5.6,Errand/Supplies,2016-02-07,16:49:00,2016-02-07,17:01:00,6,12.0
Business,Apex,Cary,5.7,Customer Visit,2016-02-07,18:03:00,2016-02-07,18:17:00,6,14.0
Business,Cary,Morrisville,6.1,Temporary Site,2016-02-07,18:39:00,2016-02-07,18:53:00,6,14.0
Business,Morrisville,Cary,6.1,Meeting,2016-02-07,20:22:00,2016-02-07,20:40:00,6,18.0
Business,Whitebridge,Edgehill Farms,4.3,Meal/Entertain,2016-02-08,12:57:00,2016-02-08,13:08:00,0,11.0
Business,Edgehill Farms,Whitebridge,2.7,Meal/Entertain,2016-02-08,14:00:00,2016-02-08,14:10:00,0,10.0
Personal,Whitebridge,Northwoods,5.3,Meeting,2016-02-09,10:54:00,2016-02-09,11:07:00,1,13.0
Personal,Northwoods,Tanglewood,3.0,Meeting,2016-02-09,11:43:00,2016-02-09,11:50:00,1,7.0
Personal,Tanglewood,Preston,5.1,Meeting,2016-02-09,13:36:00,2016-02-09,13:52:00,1,16.0
Personal,Preston,Whitebridge,1.5,Meeting,2016-02-09,13:58:00,2016-02-09,14:02:00,1,4.0
Business,Cary,Morrisville,6.1,Meeting,2016-02-09,18:55:00,2016-02-09,19:11:00,1,16.0
Business,Morrisville,Cary,6.1,Meal/Entertain,2016-02-09,20:24:00,2016-02-09,20:40:00,1,16.0
Business,Cary,Raleigh,17.3,Meal/Entertain,2016-02-11,16:28:00,2016-02-11,17:10:00,3,42.0
Business,Eastgate,Walnut Terrace,5.7,Meal/Entertain,2016-02-11,17:49:00,2016-02-11,18:10:00,3,21.0
Business,Raleigh,Morrisville,13.5,Temporary Site,2016-02-11,18:24:00,2016-02-11,18:46:00,3,22.0
Business,Morrisville,Cary,6.1,Temporary Site,2016-02-11,20:36:00,2016-02-11,20:51:00,3,15.0
Business,Cary,Durham,8.5,Temporary Site,2016-02-12,08:21:00,2016-02-12,08:42:00,4,21.0
Business,Durham,Morrisville,2.6,Temporary Site,2016-02-12,10:45:00,2016-02-12,10:52:00,4,7.0
Business,Morrisville,Raleigh,17.0,Customer Visit,2016-02-12,11:14:00,2016-02-12,11:35:00,4,21.0
Business,Raleigh,Cary,18.0,Meeting,2016-02-12,13:02:00,2016-02-12,13:36:00,4,34.0
Business,Cary,Morrisville,8.4,Meeting,2016-02-12,14:49:00,2016-02-12,15:06:00,4,17.0
Business,Morrisville,Cary,11.5,Customer Visit,2016-02-12,15:33:00,2016-02-12,16:06:00,4,33.0
Business,Cary,Morrisville,8.9,Meeting,2016-02-13,14:21:00,2016-02-13,14:41:00,5,20.0
Personal,East Elmhurst,Jackson Heights,2.7,Meeting,2016-02-13,23:45:00,2016-02-14,00:01:00,5,16.0
Personal,Jackson Heights,East Elmhurst,1.8,Meeting,2016-02-14,00:50:00,2016-02-14,01:00:00,6,10.0
Business,East Elmhurst,New York,8.1,Meeting,2016-02-14,14:07:00,2016-02-14,14:40:00,6,33.0
Business,Midtown,Midtown West,2.0,Meeting,2016-02-14,14:46:00,2016-02-14,15:03:00,6,17.0
Business,New York,Long Island City,13.0,Meeting,2016-02-14,16:35:00,2016-02-14,17:02:00,6,27.0
Business,Long Island City,Jamaica,13.9,Meeting,2016-02-14,17:06:00,2016-02-14,17:29:00,6,23.0
Business,Morrisville,Cary,8.1,Customer Visit,2016-02-22,21:54:00,2016-02-22,22:09:00,0,15.0
Business,Whitebridge,Preston,1.5,Meeting,2016-02-24,14:30:00,2016-02-24,14:35:00,2,5.0
Business,Preston,Whitebridge,1.7,Errand/Supplies,2016-02-24,15:19:00,2016-02-24,15:25:00,2,6.0
Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies,2016-02-25,16:27:00,2016-02-25,16:35:00,3,8.0
Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies,2016-02-25,16:47:00,2016-02-25,17:02:00,3,15.0
Business,Whitebridge,Tanglewood,6.0,Meal/Entertain,2016-02-25,17:16:00,2016-02-25,17:36:00,3,20.0
Business,Tanglewood,Whitebridge,5.8,Meal/Entertain,2016-02-25,18:22:00,2016-02-25,18:39:00,3,17.0
Business,Whitebridge,Westpark Place,6.3,Meeting,2016-02-26,09:06:00,2016-02-26,09:29:00,4,23.0
Personal,Westpark Place,Whitebridge,1.7,Meeting,2016-02-26,11:05:00,2016-02-26,11:11:00,4,6.0
Business,Cary,Durham,10.6,Meeting,2016-02-26,11:35:00,2016-02-26,11:59:00,4,24.0
Business,Durham,Cary,9.9,Meeting,2016-02-26,13:01:00,2016-02-26,13:24:00,4,23.0
Personal,Whitebridge,Westpark Place,1.9,Meeting,2016-02-26,14:38:00,2016-02-26,14:46:00,4,8.0
Personal,Westpark Place,Hazelwood,4.2,Meeting,2016-02-26,15:00:00,2016-02-26,15:18:00,4,18.0
Personal,Hazelwood,Whitebridge,2.0,Meeting,2016-02-26,17:01:00,2016-02-26,17:12:00,4,11.0
Business,Whitebridge,Waverly Place,7.7,Meeting,2016-02-28,05:22:00,2016-02-28,05:38:00,6,16.0
Business,Waverly Place,Whitebridge,6.8,Meeting,2016-02-28,09:26:00,2016-02-28,09:42:00,6,16.0
Personal,Whitebridge,Westpark Place,2.1,Meeting,2016-02-29,11:07:00,2016-02-29,11:14:00,0,7.0
Business,Cary,Apex,3.8,Meeting,2016-02-29,11:30:00,2016-02-29,11:40:00,0,10.0
Business,Apex,Cary,5.6,Meeting,2016-02-29,12:36:00,2016-02-29,12:48:00,0,12.0
Business,Whitebridge,Hazelwood,2.6,Meeting,2016-02-29,14:55:00,2016-02-29,15:03:00,0,8.0
Business,Hazelwood,Whitebridge,6.6,Customer Visit,2016-02-29,16:40:00,2016-02-29,17:00:00,0,20.0
Business,Whitebridge,Wayne Ridge,8.0,Meal/Entertain,2016-03-01,18:47:00,2016-03-01,19:10:00,1,23.0
Business,Wayne Ridge,Whitebridge,8.0,Meeting,2016-03-01,21:27:00,2016-03-01,21:45:00,1,18.0
Personal,Whitebridge,Westpark Place,2.2,Meeting,2016-03-03,09:45:00,2016-03-03,09:52:00,3,7.0
Business,Westpark Place,Whitebridge,2.3,Errand/Supplies,2016-03-03,11:04:00,2016-03-03,11:10:00,3,6.0
Business,Whitebridge,Northwoods,5.2,Meal/Entertain,2016-03-03,14:44:00,2016-03-03,14:58:00,3,14.0
Business,Cary,Raleigh,7.6,Customer Visit,2016-03-03,15:27:00,2016-03-03,15:48:00,3,21.0
Business,Raleigh,Cary,17.3,Meeting,2016-03-03,16:02:00,2016-03-03,16:42:00,3,40.0
Business,Cary,Durham,9.9,Meeting,2016-03-04,07:47:00,2016-03-04,08:06:00,4,19.0
Business,Durham,Cary,9.9,Customer Visit,2016-03-04,09:46:00,2016-03-04,10:03:00,4,17.0
Business,Cary,Durham,10.4,Meeting,2016-03-04,11:46:00,2016-03-04,12:06:00,4,20.0
Business,Durham,Cary,10.9,Meeting,2016-03-04,13:03:00,2016-03-04,13:25:00,4,22.0
Business,Cary,Raleigh,15.7,Customer Visit,2016-03-04,13:40:00,2016-03-04,14:09:00,4,29.0
Business,Raleigh,Raleigh,4.9,Meal/Entertain,2016-03-04,15:56:00,2016-03-04,16:08:00,4,12.0
Business,Fayetteville Street,Depot Historic District,0.8,Errand/Supplies,2016-03-04,16:16:00,2016-03-04,16:22:00,4,6.0
Business,Raleigh,Cary,13.5,Meeting,2016-03-04,16:43:00,2016-03-04,17:12:00,4,29.0
Business,Cary,Morrisville,1.9,Temporary Site,2016-03-04,19:02:00,2016-03-04,19:08:00,4,6.0
Business,Morrisville,Cary,2.0,Meal/Entertain,2016-03-04,19:16:00,2016-03-04,19:25:00,4,9.0
Business,Cary,Morrisville,6.5,Meal/Entertain,2016-03-05,11:44:00,2016-03-05,11:59:00,5,15.0
Personal,Weston,Weston,4.2,Meeting,2016-03-05,12:57:00,2016-03-05,13:12:00,5,15.0
Personal,Morrisville,Cary,3.5,Meeting,2016-03-05,14:08:00,2016-03-05,14:18:00,5,10.0
Business,Whitebridge,Wayne Ridge,7.8,Meal/Entertain,2016-03-05,14:39:00,2016-03-05,15:01:00,5,22.0
Business,Cary,Morrisville,7.8,Meal/Entertain,2016-03-05,16:52:00,2016-03-05,17:13:00,5,21.0
Business,Morrisville,Cary,3.9,Meal/Entertain,2016-03-05,17:23:00,2016-03-05,17:34:00,5,11.0
Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies,2016-03-07,09:10:00,2016-03-07,09:20:00,0,10.0
Business,Cary,Raleigh,12.4,Customer Visit,2016-03-07,09:23:00,2016-03-07,09:47:00,0,24.0
Business,Fayetteville Street,Meredith Townes,5.9,Customer Visit,2016-03-07,12:10:00,2016-03-07,12:26:00,0,16.0
Business,Meredith Townes,Leesville Hollow,9.4,Meeting,2016-03-07,13:57:00,2016-03-07,14:18:00,0,21.0
Business,Raleigh,Cary,11.9,Between Offices,2016-03-07,15:19:00,2016-03-07,15:45:00,0,26.0
Business,Whitebridge,Waverly Place,7.2,Between Offices,2016-03-08,14:38:00,2016-03-08,14:55:00,1,17.0
Business,Waverly Place,Whitebridge,7.6,Meal/Entertain,2016-03-08,15:35:00,2016-03-08,16:00:00,1,25.0
Personal,Whitebridge,Whitebridge,1.6,Meeting,2016-03-08,16:13:00,2016-03-08,16:25:00,1,12.0
Business,Cary,Morrisville,8.4,Meeting,2016-03-10,03:36:00,2016-03-10,03:53:00,3,17.0
Business,East Austin,West University,12.8,Meeting,2016-03-10,10:08:00,2016-03-10,10:37:00,3,29.0
Business,West University,South Congress,2.3,Meeting,2016-03-10,14:39:00,2016-03-10,14:55:00,3,16.0
Business,South Congress,Arts District,1.6,Meeting,2016-03-10,16:18:00,2016-03-10,16:28:00,3,10.0
Business,The Drag,Congress Ave District,2.0,Meal/Entertain,2016-03-11,09:47:00,2016-03-11,09:59:00,4,12.0
Business,Congress Ave District,Downtown,0.8,Meeting,2016-03-11,10:29:00,2016-03-11,10:36:00,4,7.0
Business,Downtown,Red River District,1.2,Meeting,2016-03-11,11:57:00,2016-03-11,12:04:00,4,7.0
Business,Red River District,Downtown,1.0,Meeting,2016-03-11,13:43:00,2016-03-11,13:51:00,4,8.0
Business,South Congress,The Drag,2.1,Meeting,2016-03-11,19:21:00,2016-03-11,19:35:00,4,14.0
Business,The Drag,South Congress,2.2,Meeting,2016-03-12,09:13:00,2016-03-12,09:22:00,5,9.0
Personal,South Congress,The Drag,1.9,Meeting,2016-03-12,18:27:00,2016-03-12,18:37:00,5,10.0
Business,The Drag,Convention Center District,5.7,Meal/Entertain,2016-03-13,09:07:00,2016-03-13,09:37:00,6,30.0
Business,South Congress,North Austin,8.4,Meal/Entertain,2016-03-13,18:23:00,2016-03-13,18:43:00,6,20.0
Business,Georgian Acres,The Drag,6.2,Meal/Entertain,2016-03-13,20:07:00,2016-03-13,20:28:00,6,21.0
Business,The Drag,North Austin,10.5,Meal/Entertain,2016-03-13,20:39:00,2016-03-13,20:58:00,6,19.0
Business,North Austin,Coxville,7.2,Meal/Entertain,2016-03-13,21:11:00,2016-03-13,21:23:00,6,12.0
Business,Coxville,The Drag,12.5,Meeting,2016-03-13,22:19:00,2016-03-13,22:39:00,6,20.0
Business,The Drag,South Congress,2.0,Errand/Supplies,2016-03-14,08:34:00,2016-03-14,08:49:00,0,15.0
Business,South Congress,The Drag,2.7,Meeting,2016-03-14,18:39:00,2016-03-14,18:55:00,0,16.0
Business,The Drag,Convention Center District,2.0,Meal/Entertain,2016-03-15,08:45:00,2016-03-15,08:57:00,1,12.0
Business,Downtown,The Drag,2.8,Meal/Entertain,2016-03-15,20:48:00,2016-03-15,21:01:00,1,13.0
Business,The Drag,Congress Ave District,1.7,Meal/Entertain,2016-03-16,11:34:00,2016-03-16,11:45:00,2,11.0
Business,Convention Center District,West University,2.0,Meeting,2016-03-16,14:44:00,2016-03-16,14:55:00,2,11.0
Business,West University,Congress Ave District,2.1,Meal/Entertain,2016-03-16,18:43:00,2016-03-16,18:56:00,2,13.0
Personal,Downtown,The Drag,1.7,Meeting,2016-03-17,00:33:00,2016-03-17,00:44:00,3,11.0
Business,Austin,Katy,136.0,Customer Visit,2016-03-17,12:52:00,2016-03-17,15:11:00,3,139.0
Business,Katy,Houston,30.2,Meeting,2016-03-17,15:16:00,2016-03-17,15:58:00,3,42.0
Business,Midtown,Alief,15.5,Meal/Entertain,2016-03-17,17:20:00,2016-03-17,18:02:00,3,42.0
Personal,Houston,Houston,4.9,Meeting,2016-03-17,18:47:00,2016-03-17,19:09:00,3,22.0
Personal,Houston,Houston,12.6,Meeting,2016-03-17,20:57:00,2016-03-17,21:28:00,3,31.0
Personal,Sharpstown,Midtown,10.4,Meeting,2016-03-17,21:48:00,2016-03-17,22:04:00,3,16.0
Business,Midtown,Midtown,1.1,Meal/Entertain,2016-03-18,07:15:00,2016-03-18,07:21:00,4,6.0
Business,Midtown,Midtown,1.1,Meal/Entertain,2016-03-18,08:35:00,2016-03-18,08:43:00,4,8.0
Business,Midtown,Sharpstown,13.2,Meeting,2016-03-18,18:24:00,2016-03-18,19:08:00,4,44.0
Business,Sharpstown,Sharpstown,1.0,Errand/Supplies,2016-03-18,19:23:00,2016-03-18,19:29:00,4,6.0
Business,Sharpstown,Midtown,9.2,Customer Visit,2016-03-18,21:01:00,2016-03-18,21:15:00,4,14.0
Business,Midtown,Sharpstown,9.4,Meal/Entertain,2016-03-19,09:10:00,2016-03-19,09:25:00,5,15.0
Business,Houston,Sugar Land,12.0,Customer Visit,2016-03-19,12:50:00,2016-03-19,13:13:00,5,23.0
Business,Sugar Land,Houston,35.1,Customer Visit,2016-03-19,14:01:00,2016-03-19,14:57:00,5,56.0
Business,Houston,Galveston,36.5,Meal/Entertain,2016-03-19,15:34:00,2016-03-19,16:38:00,5,64.0
Business,Galveston,Port Bolivar,3.1,Meal/Entertain,2016-03-19,17:17:00,2016-03-19,17:32:00,5,15.0
Business,Port Bolivar,Port Bolivar,2.1,Errand/Supplies,2016-03-19,17:37:00,2016-03-19,17:47:00,5,10.0
Business,Port Bolivar,Port Bolivar,1.2,Meeting,2016-03-19,17:52:00,2016-03-19,18:00:00,5,8.0
Business,Port Bolivar,Galveston,7.5,Meeting,2016-03-19,18:53:00,2016-03-19,19:29:00,5,36.0
Business,Galveston,Houston,57.0,Customer Visit,2016-03-19,19:33:00,2016-03-19,20:39:00,5,66.0
Business,Midtown,Washington Avenue,5.9,Meeting,2016-03-20,07:37:00,2016-03-20,07:48:00,6,11.0
Business,Washington Avenue,Midtown,6.2,Meeting,2016-03-20,11:42:00,2016-03-20,11:56:00,6,14.0
Business,Midtown,Sharpstown,10.4,Meeting,2016-03-20,17:08:00,2016-03-20,17:34:00,6,26.0
Personal,Sharpstown,Briar Meadow,1.2,Meeting,2016-03-20,18:34:00,2016-03-20,18:40:00,6,6.0
Business,Briar Meadow,Midtown,9.6,Customer Visit,2016-03-20,18:45:00,2016-03-20,19:06:00,6,21.0
Personal,Midtown,Downtown,1.0,Meeting,2016-03-21,10:21:00,2016-03-21,10:26:00,0,5.0
Business,Downtown,Midtown,0.9,Meal/Entertain,2016-03-21,16:05:00,2016-03-21,16:13:00,0,8.0
Business,Midtown,Sharpstown,8.8,Meeting,2016-03-21,18:59:00,2016-03-21,19:15:00,0,16.0
Business,Sharpstown,Midtown,25.6,Meal/Entertain,2016-03-21,20:18:00,2016-03-21,20:55:00,0,37.0
Business,Midtown,Greater Greenspoint,23.0,Meal/Entertain,2016-03-22,06:17:00,2016-03-22,06:43:00,1,26.0
Personal,Morrisville,Cary,8.1,Meeting,2016-03-22,12:06:00,2016-03-22,12:24:00,1,18.0
Personal,Whitebridge,Whitebridge,1.4,Meeting,2016-03-22,19:12:00,2016-03-22,19:25:00,1,13.0
Personal,Whitebridge,Preston,1.7,Meeting,2016-03-23,14:37:00,2016-03-23,14:42:00,2,5.0
Personal,Preston,Whitebridge,1.6,Meeting,2016-03-23,14:53:00,2016-03-23,14:59:00,2,6.0
Personal,Whitebridge,Westpark Place,2.0,Meeting,2016-03-24,19:47:00,2016-03-24,19:54:00,3,7.0
Business,Westpark Place,Whitebridge,2.2,Meeting,2016-03-24,20:34:00,2016-03-24,20:40:00,3,6.0
Business,Cary,Latta,144.0,Customer Visit,2016-03-25,13:24:00,2016-03-25,16:22:00,4,178.0
Business,Latta,Jacksonville,310.3,Customer Visit,2016-03-25,16:52:00,2016-03-25,22:22:00,4,330.0
Business,Jacksonville,Kissimmee,201.0,Meeting,2016-03-25,22:54:00,2016-03-26,01:39:00,4,165.0
Personal,Couples Glen,Isles of Buena Vista,6.7,Meeting,2016-03-26,14:05:00,2016-03-26,14:29:00,5,24.0
Personal,Kissimmee,Orlando,8.8,Meeting,2016-03-26,15:19:00,2016-03-26,15:49:00,5,30.0
Personal,Lake Reams,Lake Reams,1.2,Meeting,2016-03-26,16:26:00,2016-03-26,16:30:00,5,4.0
Business,Lake Reams,Lake Reams,2.1,Errand/Supplies,2016-03-27,00:31:00,2016-03-27,00:40:00,6,9.0
Business,Orlando,Kissimmee,6.6,Meal/Entertain,2016-03-27,01:11:00,2016-03-27,01:23:00,6,12.0
Business,Kissimmee,Orlando,6.1,Customer Visit,2016-03-27,15:31:00,2016-03-27,15:56:00,6,25.0
Personal,Orlando,Orlando,6.9,Meeting,2016-03-27,21:26:00,2016-03-27,21:41:00,6,15.0
Personal,Orlando,Kissimmee,7.3,Meeting,2016-03-27,23:04:00,2016-03-27,23:18:00,6,14.0
Personal,Kissimmee,Orlando,3.6,Meeting,2016-03-28,12:29:00,2016-03-28,12:42:00,0,13.0
Personal,Couples Glen,Vista East,27.2,Meeting,2016-03-28,19:30:00,2016-03-28,20:23:00,0,53.0
Personal,Orlando,Kissimmee,25.7,Meeting,2016-03-28,22:55:00,2016-03-28,23:26:00,0,31.0
Personal,Kissimmee,Orlando,13.6,Meeting,2016-03-29,15:27:00,2016-03-29,16:11:00,1,44.0
Personal,Sand Lake Commons,Sky Lake,6.2,Meeting,2016-03-29,18:20:00,2016-03-29,18:39:00,1,19.0
Personal,Sky Lake,Sand Lake Commons,6.0,Meeting,2016-03-29,20:29:00,2016-03-29,20:44:00,1,15.0
Personal,Orlando,Kissimmee,13.8,Meeting,2016-03-29,23:04:00,2016-03-29,23:21:00,1,17.0
Business,Orlando,Kissimmee,28.8,Meal/Entertain,2016-03-30,22:05:00,2016-03-30,22:55:00,2,50.0
Business,Kissimmee,Orlando,16.1,Temporary Site,2016-03-31,12:47:00,2016-03-31,13:22:00,3,35.0
